epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,9.999999747378752e-05,5.947760581970215,1.7610490322113037,5.1921186447143555,5.954128265380859,1.8307445049285889,4.0825042724609375
1,0.00018000000272877514,5.634209632873535,1.4776602983474731,3.0384347438812256,5.8969926834106445,1.7938235998153687,3.9479727745056152
2,0.00026000000070780516,5.688259601593018,1.5298055410385132,4.011608600616455,5.852818489074707,1.772874116897583,3.872856616973877
3,0.00033999999868683517,5.640807628631592,1.5414557456970215,3.920332431793213,5.793850898742676,1.748631238937378,3.748298168182373
4,0.0004199999966658652,5.521828651428223,1.4376795291900635,3.3964579105377197,5.7371745109558105,1.7344938516616821,3.708545684814453
5,0.0005000000237487257,5.619785785675049,1.5922194719314575,3.842939615249634,5.6861138343811035,1.7318904399871826,3.7172439098358154
6,0.000499390996992588,5.576508045196533,1.609782338142395,3.8420896530151367,5.626557350158691,1.7251501083374023,3.716465473175049
7,0.0004975670017302036,5.358790397644043,1.4512490034103394,3.1382946968078613,5.5934858322143555,1.7489898204803467,3.802597761154175
8,0.0004945368855260313,5.349350929260254,1.4941846132278442,3.228965997695923,5.528664588928223,1.7342510223388672,3.775744915008545
9,0.0004903154331259429,5.096133232116699,1.2513364553451538,2.331240653991699,5.477952480316162,1.7285959720611572,3.8008861541748047
10,0.0004849231627304107,5.263106822967529,1.508868932723999,3.213494300842285,5.432292461395264,1.7349201440811157,3.808260440826416
11,0.00047838635509833694,5.340017318725586,1.6259734630584717,3.9736857414245605,5.465620994567871,1.7990591526031494,4.258496284484863
12,0.00047073690802790225,5.298995018005371,1.6513787508010864,3.7850685119628906,5.3806867599487305,1.7636845111846924,4.044720649719238
13,0.00046201201621443033,5.135343074798584,1.5014182329177856,3.1896963119506836,5.333794593811035,1.7694858312606812,3.9733169078826904
14,0.0004522542585618794,5.096642017364502,1.5060162544250488,3.4202382564544678,5.252955436706543,1.735317587852478,3.772853136062622
